epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,-10.21384334564209,-11.702975273132324
1,0.0010000000474974513,-12.231866836547852,-12.747576713562012
2,0.0010000000474974513,-12.902375221252441,-13.261360168457031
3,0.0010000000474974513,-13.24588394165039,-13.480916976928711
4,0.0010000000474974513,-13.485387802124023,-13.67998218536377
5,0.0010000000474974513,-13.676875114440918,-13.802885055541992
6,0.0010000000474974513,-13.81123161315918,-13.83710765838623
7,0.0010000000474974513,-13.943791389465332,-14.090994834899902
8,0.0010000000474974513,-14.033470153808594,-14.130023002624512
9,0.0010000000474974513,-14.10487174987793,-14.21498966217041
10,0.0010000000474974513,-14.16419792175293,-14.106308937072754
11,0.0010000000474974513,-14.22215461730957,-14.027670860290527
12,0.0010000000474974513,-14.285152435302734,-14.320601463317871
13,0.0010000000474974513,-14.36677074432373,-13.962057113647461
14,0.0010000000474974513,-14.4176664352417,-14.228813171386719
15,0.0010000000474974513,-14.451422691345215,-14.435270309448242
16,0.0010000000474974513,-14.481995582580566,-14.384801864624023
17,0.0010000000474974513,-14.540555953979492,-14.409841537475586
18,0.0010000000474974513,-14.545130729675293,-14.471471786499023
19,0.0010000000474974513,-14.570981979370117,-14.475592613220215
20,0.0010000000474974513,-14.579449653625488,-14.509421348571777
21,0.0010000000474974513,-14.649454116821289,-14.449877738952637
22,0.0010000000474974513,-14.656532287597656,-14.565897941589355
23,0.0010000000474974513,-14.664313316345215,-14.552305221557617
24,0.0010000000474974513,-14.694496154785156,-14.72523021697998
25,0.0010000000474974513,-14.743200302124023,-14.791254997253418
26,0.0010000000474974513,-14.768845558166504,-14.727417945861816
27,0.0010000000474974513,-14.78470230102539,-14.59825611114502
28,0.0010000000474974513,-14.768542289733887,-14.715474128723145
29,0.0005000000237487257,-15.00704574584961,-14.9056396484375
30,0.0005000000237487257,-15.029022216796875,-14.8641939163208
31,0.0005000000237487257,-15.03351879119873,-14.715168952941895
32,0.0005000000237487257,-15.030421257019043,-14.862418174743652
33,0.0002500000118743628,-15.150035858154297,-14.944681167602539
